Full Address,count
"5809 RUST ST, 11378",2
"321 MCGUINNESS BLVD, 11222",2
"3210 WEBSTER AVE, 10467",2
"7519 18TH AVE, 11214",2
"13898 QUEENS BLVD, 11435",2
"600 PELHAM PKWY S, 10462",2
"16115 46TH AVE, 11358",2
"640 CONDUIT BOULEVARD, 11208",2
"610 NEREID AVE, 10470",2
"18705 HILLSIDE AVE, 11432",2
"11708 SPRINGFIELD BLVD, 11411",2
"1924 FLATBUSH AVE, 11210",2
"13015 14TH AVE, 11356",2
"2916 FRANCIS LEWIS BLVD, 11358",2
"21302 JAMAICA AVE, 11428",2
"713 KENT AVE, 11249",2
"46-11 108 STREET, 11368",2
"3802 21ST ST, 11101",2
"1865 BRUCKNER BLVD, 10472",2
"4880 BROADWAY, 10034",2
"18417 HORACE HARDING EXPY, 11365",2
"256 MCGUINNESS BLVD, 11222",2
"8517 18TH AVE, 11214",2
"51 8TH AVE, 10014",2
"3901 21ST ST, 11101",2
"15017 CROSS ISLAND PKWY, 11357",2
"13819 HILLSIDE AVE, 11435",2
"4715 11TH ST, 11101",2
"1610 EASTCHESTER RD, 10461",2
"4201 WEBSTER AVE, 10470",2
"1029 WASHINGTON AVE, 10456",2
"1419 BRUCKNER BLVD, 10472",2
"11402 VAN WYCK EXPY, 11420",2
"152 UNION AVE, 11206",2
"836 E 233RD ST, 10466",2
"180 W SERVICE RD, 10314",2
"3170 ATLANTIC AVE, 11208",2
"1676 FLATBUSH AVE, 11210",2
"4202 21ST ST, 11101",2
"13721 LIBERTY AVE, 11435",2
"456 BUSHWICK AVENUE, 11206",2
"7401 GRAND AVE, 11373",2
"4302 FORT HAMILTON PKWY, 11219",2
"463 CONDUIT BLVD, 11208",2
"1514 BRONXDALE AVE, 10462",2
"3902 QUEENS BLVD, 11104",2
"222 MANSION AVE, 10308",2
"8910 ASTORIA BLVD, 11369",2
"6905 ELIOT AVE, 11379",2
"1781 ARTHUR KILL RD, 10312",2
"1225 E 233RD ST, 10466",2
"7541 YELLOWSTONE BLVD, 11374",2
"1128 E GUN HILL RD, 10469",2
"14827 LIBERTY AVE, 11435",2
"13435 101ST AVE, 11419",2
"20005 HORACE HARDING EXPY, 11364",2
"9744 SUTPHIN BLVD, 11435",2
"13850 HILLSIDE AVE, 11435",2
"2276 1ST AVE, 10035",2
"250 JACKSON AVE, 10454",2
"765 PENNSYLVANIA AVENUE, 11207",2
"11244 ROOSEVELT AVE, 11368",2
"43-20 ASTORIA BOULEVARD SOUTH, 11103",2
"3417 NORTHERN BLVD, 11101",2
"25202 UNION TPKE, 11426",1
"842 5TH AVE, 11232",1
"13037 MERRICK BLVD, 11434",1
"20001 47TH AVE, 11361",1
"7023 BAY PKWY, 11204",1
"1022 ROCKAWAY AVENUE, 11236",1
"11505 BEACH CHANNEL DR, 11694",1
"24870 HORACE HARDING EXPY, 11362",1
"451 LORIMER ST, 11206",1
"914 CONEY ISLAND AVE, 11230",1
"1441 RICHMOND AVE, 10314",1
"2489 CONEY ISLAND AVE, 11223",1
"1 E 233RD ST, 10470",1
"10003 N CONDUIT AVE, 11417",1
"300 SAND LN, 10305",1
"1617 SAINT NICHOLAS AVE, 10040",1
"16201 46TH AVE, 11358",1
"17533 HORACE HARDING EXPY, 11365",1
"890 ROCKAWAY AVE, 11212",1
"3602 21ST ST, 11106",1
"303 W 96TH ST, 10025",1
"6002 18TH AVE, 11204",1
"354 HAMILTON AVE, 11231",1
"9111 4TH AVE, 11209",1
"3010 OCEAN AVE, 11235",1
"10007 ROCKAWAY BLVD, 11417",1
"1610 BUSHWICK AVE, 11207",1
"3046 CONEY ISLAND AVE, 11235",1
"18105 HORACE HARDING EXPY, 11365",1
"3424 E TREMONT AVE, 10465",1
"13430 ATLANTIC AVE, 11419",1
"9701 DITMAS AVE, 11236",1
"3451 BELL BLVD, 11361",1
"1420 86TH ST, 11228",1
"1280 ALLERTON AVE, 10469",1
"1935 CONEY ISLAND AVE, 11230",1
"3437 FORT HAMILTON PKWY, 11218",1
"15018 LIBERTY AVE, 11433",1
"15402 HORACE HARDING EXPY, 11367",1
"2117 JACKSON AVE, 11101",1
"1345 CASTLE HILL AVE, 10462",1
"91 TILLARY ST, 11201",1
"673 CITY ISLAND AVE, 10464",1
"19629 HILLSIDE AVE, 11423",1
"1036 LEXINGTON AVENUE, 10021",1
"83 CANAL ST, 10002",1
"5101 AVENUE N, 11234",1
"98-21 ROCKAWAY BOULEVARD, 11417",1
"950 ALLERTON AVE, 10469",1
"255 E 125TH ST, 10035",1
"1504 149TH ST, 11357",1
"15730 WILLETS POINT BLVD, 11357",1
"1302 65TH ST, 11219",1
"4643 3RD AVE, 10458",1
"8915 ROCKAWAY BLVD, 11416",1
"1890 PARK AVENUE, 10035",1
"786 BURKE AVENUE, 10467",1
"10006 4TH AVE, 11209",1
"3123 ATLANTIC AVE, 11208",1
"3642 21ST ST, 11106",1
"960 CYPRESS AVE, 11385",1
"11811 ATLANTIC AVE, 11418",1
" 22213 braddock avenue, 11428",1
"538 3 AVENUE, 11215",1
"1657 JEROME AVE, 10453",1
"1740 JEROME AVE, 10453",1
"677 KENT AVE, 11249",1
"128 MOTT ST, 10013",1
"1626 STILLWELL AVE, 11223",1
"7002 13TH AVE, 11228",1
"26009 NASSAU BLVD, 11362",1
"594 JAMAICA AVE, 11208",1
"909 E 230TH ST, 10466",1
"2031 GRAND CONCOURSE, 10453",1
"601 E FORDHAM RD, 10458",1
"641 E GUN HILL RD, 10467",1
"3155 AMBOY RD, 10306",1
"11044 QUEENS BLVD, 11375",1
"3059 WEBSTER AVE, 10467",1
"1719 CROSS BRONX EXPY, 10460",1
"1 CORTELYOU RD, 11218",1
"1525 ALBANY AVE, 11210",1
"110 W 86TH ST, 10024",1
"126 BRUCKNER BLVD, 10454",1
"4118 FARRAGUT RD, 11210",1
"18108 HORACE HARDING EXPY, 11365",1
"1198 E TREMONT AVE, 10460",1
"873 BEDFORD AVE, 11205",1
"2475 BOSTON RD, 10467",1
"3804 BOSTON RD, 10475",1
"2280 TILLOTSON AVE, 10475",1
"4090 BOSTON RD, 10475",1
"1930 BARTOW AVE, 10469",1
"4276 MAIN ST, 11355",1
"352 FOREST AVE, 10301",1
"1490 CLOVE RD, 10301",1
"738 LYDIG AVE, 10462",1
"11202 FARMERS BLVD, 11412",1
"6423 7TH AVE, 11220",1
"719 NEW LOTS AVE, 11207",1
"760 MELROSE AVE, 10451",1
"1804 RALPH AVE, 11236",1
"6126 AMBOY RD, 10309",1
"6717 4TH AVE, 11220",1
"28 W BURNSIDE AVE, 10453",1
"1092 ROGERS AVE, 11226",1
"57 AUDUBON AVE, 10032",1
"3042 31ST ST, 11102",1
"3840 BROADWAY, 10032",1
"82 E BURNSIDE AVE, 10453",1
"3788 BROADWAY, 10032",1
"75 CLASSON AVE, 11205",1
"11615 METROPOLITAN AVE, 11418",1
"352 9TH AVE, 10001",1
"10209 NORTHERN BLVD, 11368",1
"1450 CROSBY AVE, 10461",1
"1750 E GUN HILL RD, 10469",1
"52 E 53RD ST, 10022",1
"7915 ELIOT AVE, 11379",1
"363 E 180TH ST, 10457",1
"654 E 233RD ST, 10466",1
"7610 37TH AVE, 11372",1
"1407 LEXINGTON AVE, 10128",1
"2355 BROADWAY, 11106",1
"2909 SURF AVE, 11224",1
"70 NAGLE AVE, 10040",1
"6102 4TH AVE, 11220",1
"605 65TH ST, 11220",1
"5001 KINGS HWY, 11234",1
"833 4TH AVE, 11232",1
"1441 WESTCHESTER AVE, 10472",1
"1945 BARTOW AVE, 10469",1
"25901 UNION TPKE, 11004",1
"10545 HORACE HARDING EXPY, 11368",1
"2495 CROPSEY AVE, 11214",1
"12524 METROPOLITAN AVE, 11415",1
"2270 HYLAN BLVD, 10306",1
"2516 65TH ST, 11204",1
"3010 RIVERDALE AVE, 10463",1
"6418 7TH AVE, 11220",1
"1325 HUTCHINSON RIVER PKWY, 10461",1
"1320 HUTCHINSON RIVER PKWY, 10461",1
"3467 FRANCIS LEWIS BLVD, 11358",1
"4040 CRESCENT ST, 11101",1
"84 EBONY CT, 11229",1
"11901 ATLANTIC AVE, 11418",1
"1217 SHERMAN AVE, 10456",1
"2975 RICHMOND AVE, 10314",1
"5587 BROADWAY, 10463",1
"3276 JEROME AVE, 10468",1
"1413 EDWARD L GRANT HWY, 10452",1
"3290 WEBSTER AVE, 10467",1
"43-15 JUNCTION BOULEVARD, 11368",1
"13014 HILLSIDE AVE, 11418",1
"9102 S CONDUIT AVE, 11414",1
"331 PORT RICHMOND AVE, 10302",1
"7611 NORTHERN BLVD, 11372",1
" EAST 16 STREET, 10003",1
"1500 BRUCKNER BOULEVARD, 10473",1
"1907 CROPSEY AVE, 11214",1
"2955 CROPSEY AVE, 11214",1
"1 JFK INTERNATIONAL AIRPORT, 11430",1
"8030 JAMAICA AVE, 11421",1
"9050 PARSONS BLVD, 11432",1
"2225 BATH AVE, 11214",1
"3410 BORDEN AVE, 11101",1
"7619 21ST AVE, 11370",1
"14431 FARMERS BLVD, 11434",1
"12610 15TH AVE, 11356",1
"21925 MERRICK BLVD, 11413",1
"2061 BATH AVE, 11214",1
"11701 SPRINGFIELD BLVD, 11411",1
"26212 HILLSIDE AVE, 11004",1
" EAST 17 STREET, 10003",1
"20412 NORTHERN BLVD, 11361",1
"1976 ARTHUR AVENUE, 10457",1
"5035 NORTHERN BLVD, 11101",1
"2965 CROPSEY AVE, 11214",1
"79-10 SPRINGFIELD BOULEVARD, 11364",1
"2065 CLINTONVILLE ST, 11357",1
"2002 PARSONS BLVD, 11357",1
"41 RIVER TER, 10282",1
"14812 ROCKAWAY BLVD, 11436",1
"807 E TREMONT AVE, 10460",1
"14819 HILLSIDE AVE, 11435",1
"3745 21ST ST, 11101",1
"18741 HILLSIDE AVE, 11432",1
"292 NEPTUNE AVE, 11235",1
"11201 BEACH CHANNEL DR, 11694",1
"6615 BORDEN AVE, 11378",1
"741 FOREST AVE, 10310",1
"1929 BRUCKNER BLVD, 10472",1
"6401 4TH AVE, 11220",1
"6307 BROADWAY, 11377",1
"41-31 MAIN STREET, 11355",1
"5832 BROADWAY, 10463",1
"584 GATES AVE, 11221",1
"175 TARGEE ST, 10304",1
"1781 ATLANTIC AVE, 11233",1
"8007 CYPRESS AVE, 11385",1
"4921 QUEENS BLVD, 11377",1
"3355 E TREMONT AVE, 10461",1
"7733 QUEENS BLVD, 11373",1
"6822 NORTHERN BLVD, 11377",1
"6401 WOODHAVEN BLVD, 11374",1
"2895 JEROME AVE, 10468",1
"98-02 NORTHERN BOULEVARD, 11368",1
"5602 BROADWAY, 11377",1
"10106 ASTORIA BLVD, 11369",1
"6827 WOODHAVEN BLVD, 11374",1
"699 MORRIS AVE, 10451",1
"425 VANDERBILT AVE, 10304",1
"535 VANDERBILT AVE, 10304",1
"16224 TUSKEGEE AIRMEN WAY, 11433",1
"1416 HYLAN BLVD, 10305",1
"525 FOREST AVE, 10310",1
"5 FINGERBOARD RD, 10305",1
"248 BAY ST, 10301",1
"3310 RICHMOND RD, 10306",1
"1805 WEBSTER AVE, 10457",1
"1752 WEBSTER AVE, 10457",1
"496 ARTHUR KILL RD, 10308",1
"2000 VICTORY BLVD, 10314",1
"2211 BEDFORD AVE, 11226",1
"1252 FOREST AVE, 10302",1
"1774 VICTORY BLVD, 10314",1
"229 KNICKERBOCKER AVE, 11237",1
"6930 4TH AVE, 11209",1
"7924 FLATLANDS AVE, 11236",1
"1717 AVENUE Z, 11235",1
"18433 JAMAICA AVE, 11423",1
"700 RICHMOND TER, 10301",1
"2430 RICHMOND RD, 10306",1
"105 NEW DORP LN, 10306",1
"149 VICTORY BLVD, 10301",1
"1820 RICHMOND RD, 10306",1
"2071 VICTORY BLVD, 10314",1
"11736 FARMERS BLVD, 11412",1
"331 11TH ST, 11215",1
"1781 BAY RIDGE PKWY, 11204",1
"1870 HYLAN BLVD, 10305",1
"8211 QUEENS BLVD, 11373",1
"6050 WOODHAVEN BLVD, 11373",1
"6093 FLUSHING AVE, 11378",1
"10854 GUY R BREWER BLVD, 11433",1
"148 E 170TH ST, 10452",1
"8202 7TH AVE, 11228",1
"4801 KINGS HWY, 11234",1
"579 92ND ST, 11209",1
"5673 58TH ST, 11378",1
"3620 QUEENS BLVD, 11101",1
"2151 ARTHUR KILL RD, 10309",1
"1267 FLATBUSH AVE, 11226",1
"2285 GRAND CONCOURSE, 10453",1
"13717 NORTHERN BLVD, 11354",1
"1746 CLINTONVILLE ST, 11357",1
"8508 JAMAICA AVE, 11421",1
"185 FLATBUSH AVENUE EXTENSION, 11201",1
"780 BURKE AVE, 10467",1
"2978 CROPSEY AVE, 11214",1
"3902 AVENUE U, 11234",1
"2010 WHITE PLAINS RD, 10462",1
"601 UNION ST, 11215",1
"476 STAFFORD AVE, 10312",1
"1264 RANDALL AVE, 10474",1
"2001 31ST ST, 11105",1
"5914 BEACH CHANNEL DR, 11692",1
"1346 BEACH CHANNEL DR, 11691",1
"1 BAY BLVD, 11559",1
"88-20 ASTORIA BOULEVARD, 11369",1
"10515 MERRICK BLVD, 11433",1
"802 MANHATTAN AVE, 11222",1
"392 LEONARD ST, 11211",1
"1842 VICTORY BLVD, 10314",1
"785 E 163RD ST, 10456",1
"7918 3RD AVE, 11209",1
"649 JACKSON AVE, 10455",1
"7214 MAIN ST, 11367",1
"405 GRAND ST, 10002",1
"4925 VAN DAM ST, 11101",1
"5532 BROADWAY, 10463",1
"17790 S CONDUIT AVE, 11434",1
"17902 UNION TPKE, 11366",1
"4138 BROADWAY, 10033",1
"3871 BROADWAY, 10032",1
"16807 BAISLEY BLVD, 11434",1
"2965 86TH ST, 11223",1
"20206 HILLSIDE AVE, 11423",1
"21201 HILLSIDE AVE, 11427",1
"24115 HILLSIDE AVE, 11426",1
"21928 HILLSIDE AVE, 11427",1
"3105 38TH AVE, 11101",1
"25 IRVING PL, 10606",1
"1862 WEBSTER AVE, 10457",1
"640 HICKS ST, 11231",1
"18744 HILLSIDE AVE, 11432",1
"416 CRESCENT ST, 11208",1
"1770 JEROME AVE, 10453",1
"7408 JAMAICA AVE, 11421",1
"1564 SOUTHERN BLVD, 10460",1
"13837 QUEENS BLVD, 11435",1
"22820 MERRICK BLVD, 11413",1
"10801 GRAND CENTRAL PKWY, 11369",1
"25959 FRANCIS LEWIS BLVD, 11422",1
"800 SAINT NICHOLAS AVE, 10031",1
"691 E 149TH ST, 10455",1
"7515 NORTHERN BLVD, 11372",1
